Date,Platform,Daily_Active_Users,New_Registrations,Session_Duration,In_Game_Purchases,Social_Media_Mentions,Stream_Viewership,Revenue,Top_Genre
2024-01-21,VR,160737 ,16073 ,45 ,23360 ,8171 ,87541 ,17269 ,Adventure
2018-03-22,Mobile,102612 ,10261 ,75 ,30693 ,5112 ,38233 ,26528 ,Simulation
2019-11-01,Console,118183 ,11818 ,41 ,49647 ,5886 ,55122 ,30827 ,RPG
2021-03-02,Mobile,131833 ,13183 ,65 ,14218 ,6651 ,70566 ,16956 ,FPS
2021-05-22,Mobile,134096 ,13409 ,33 ,46211 ,6745 ,42881 ,23261 ,FPS
2023-09-14,PC,157147 ,15714 ,62 ,73395 ,7826 ,78499 ,66079 ,FPS
2020-04-14,Mobile,122855 ,12285 ,44 ,39952 ,6166 ,69074 ,43071 ,Simulation
2021-10-29,Mobile,137693 ,13769 ,52 ,55037 ,6846 ,69943 ,76732 ,Simulation
2018-03-04,VR,102053 ,10205 ,47 ,37270 ,5080 ,59139 ,39813 ,FPS
2020-09-20,Mobile,128155 ,12815 ,61 ,33580 ,6312 ,39598 ,19383 ,RPG
2022-07-16,Console,145614 ,14561 ,57 ,29263 ,7307 ,57770 ,23760 ,Adventure
2021-10-18,VR,138426 ,13842 ,70 ,56306 ,6836 ,57001 ,31750 ,Adventure
2018-01-09,VR,100278 ,10027 ,52 ,17995 ,5127 ,47162 ,22940 ,Adventure
2023-09-22,Console,157284 ,15728 ,41 ,57586 ,7669 ,83200 ,71315 ,Action
2019-01-14,Mobile,110446 ,11044 ,40 ,53784 ,5396 ,24946 ,57395 ,FPS
2024-05-18,Mobile,164393 ,16439 ,40 ,79985 ,7987 ,77807 ,86370 ,Action
2018-01-10,VR,100830 ,10083 ,73 ,13833 ,4949 ,31645 ,17373 ,Simulation
2021-04-19,VR,132967 ,13296 ,40 ,28269 ,6681 ,42793 ,41212 ,Adventure
2020-05-16,Mobile,123834 ,12383 ,59 ,44730 ,6054 ,81138 ,47951 ,Adventure
2019-03-17,PC,112382 ,11238 ,34 ,18220 ,5591 ,41083 ,10913 ,Action
2019-07-31,PC,115359 ,11535 ,39 ,23791 ,5745 ,54655 ,22198 ,Simulation
2020-07-19,VR,125226 ,12522 ,74 ,41435 ,6359 ,33559 ,54688 ,Adventure
2023-09-03,PC,157190 ,15719 ,63 ,33992 ,7826 ,78912 ,36547 ,FPS
2021-06-02,Mobile,134735 ,13473 ,30 ,17263 ,6646 ,30207 ,9333 ,Action
2023-07-25,VR,155678 ,15567 ,57 ,65077 ,7702 ,65958 ,33677 ,RPG
2020-01-29,PC,120805 ,12080 ,38 ,39121 ,5972 ,63528 ,55217 ,Action
2023-06-08,Console,154861 ,15486 ,54 ,65264 ,7648 ,57598 ,58773 ,FPS
2020-01-30,VR,120681 ,12068 ,61 ,21963 ,6020 ,83976 ,31756 ,Action
2024-08-10,VR,166365 ,16636 ,37 ,64758 ,8478 ,80850 ,65429 ,Adventure
2019-09-29,Mobile,117514 ,11751 ,44 ,25129 ,5859 ,77905 ,18980 ,FPS
2019-10-11,PC,117667 ,11766 ,43 ,56886 ,6012 ,31748 ,40853 ,RPG
2018-10-25,PC,108282 ,10828 ,51 ,45510 ,5314 ,29049 ,29808 ,Action
2023-06-15,Console,154847 ,15484 ,42 ,58441 ,7851 ,50996 ,69108 ,FPS
2022-02-28,Mobile,141076 ,14107 ,41 ,70020 ,7281 ,56232 ,43443 ,FPS
2018-01-27,VR,100144 ,10014 ,34 ,38690 ,5100 ,42555 ,54517 ,Action
2018-11-25,VR,109247 ,10924 ,71 ,23105 ,5481 ,53058 ,26005 ,Simulation
2023-08-09,VR,156890 ,15689 ,52 ,50858 ,7873 ,34540 ,39440 ,FPS
2019-11-20,Mobile,118567 ,11856 ,58 ,17541 ,5956 ,57532 ,20800 ,Simulation
2024-09-04,Mobile,166686 ,16668 ,46 ,30146 ,8320 ,80755 ,27112 ,FPS
2022-04-07,VR,142796 ,14279 ,31 ,34567 ,7103 ,34493 ,43134 ,Action
2019-12-21,PC,119207 ,11920 ,65 ,28889 ,6057 ,24357 ,22135 ,Simulation
2021-08-23,VR,136532 ,13653 ,61 ,36084 ,6695 ,45806 ,45892 ,Action
2018-07-19,VR,105557 ,10555 ,45 ,26538 ,5327 ,44797 ,25523 ,RPG
2020-06-11,Console,124336 ,12433 ,67 ,21287 ,6270 ,76015 ,23626 ,FPS
2019-12-25,Console,120376 ,12037 ,56 ,25437 ,6003 ,58488 ,31037 ,Action
2020-01-02,VR,119708 ,11970 ,63 ,34716 ,6156 ,46732 ,18927 ,FPS
2023-08-07,Console,156344 ,15634 ,42 ,15867 ,7865 ,39580 ,19901 ,Action
2018-08-31,VR,106735 ,10673 ,48 ,34846 ,5239 ,23424 ,30100 ,RPG
2022-07-30,VR,145694 ,14569 ,46 ,49289 ,7212 ,96698 ,37491 ,Adventure
2023-11-14,VR,159276 ,15927 ,54 ,33237 ,7999 ,111335 ,35317 ,FPS
2019-05-21,PC,113471 ,11347 ,35 ,44801 ,5600 ,66979 ,53434 ,Action
2024-03-13,Console,161813 ,16181 ,55 ,28442 ,8091 ,82986 ,25581 ,Adventure
2018-08-27,PC,106508 ,10650 ,38 ,25107 ,5289 ,63805 ,21672 ,RPG
2021-09-01,VR,137413 ,13741 ,68 ,14403 ,6692 ,30784 ,11396 ,Simulation
2020-08-22,Mobile,126503 ,12650 ,52 ,50096 ,6503 ,60692 ,41408 ,Adventure
2022-01-05,Mobile,139835 ,13983 ,29 ,16293 ,7057 ,48774 ,18892 ,Action
2020-02-26,Mobile,121750 ,12175 ,45 ,25870 ,6011 ,42513 ,38155 ,Simulation
2020-04-06,Mobile,122564 ,12256 ,41 ,42597 ,6063 ,82752 ,57424 ,RPG
2020-01-22,Console,120674 ,12067 ,67 ,27429 ,5986 ,60788 ,19918 ,Simulation
2024-02-29,Mobile,161421 ,16142 ,64 ,23478 ,8094 ,94755 ,34101 ,FPS
2023-04-27,Console,153445 ,15344 ,48 ,51353 ,7684 ,71524 ,57505 ,Adventure
2023-02-03,Console,150440 ,15044 ,36 ,73993 ,7495 ,99693 ,64462 ,Action
2023-06-09,Console,154090 ,15409 ,59 ,36347 ,7729 ,34411 ,26753 ,Adventure
2024-04-28,Console,162763 ,16276 ,40 ,24224 ,8005 ,38668 ,31993 ,Action
2018-09-22,PC,106956 ,10695 ,49 ,21784 ,5439 ,27969 ,17084 ,Simulation
2020-02-28,Console,121737 ,12173 ,58 ,51750 ,6146 ,69691 ,53831 ,Simulation
2020-08-04,VR,126713 ,12671 ,58 ,35995 ,6330 ,60435 ,46020 ,Simulation
2024-04-16,Mobile,162923 ,16292 ,31 ,38285 ,8176 ,80750 ,28888 ,Simulation
2023-05-11,Mobile,153027 ,15302 ,53 ,69328 ,7556 ,78978 ,67599 ,RPG
2023-02-28,VR,151991 ,15199 ,43 ,22814 ,7766 ,84150 ,32332 ,Adventure
2022-12-13,VR,148937 ,14893 ,71 ,60321 ,7493 ,46006 ,60233 ,FPS
2018-07-11,PC,104928 ,10492 ,51 ,24295 ,5213 ,62664 ,20142 ,FPS
2021-06-08,VR,134487 ,13448 ,48 ,66611 ,6799 ,69246 ,96426 ,RPG
2021-05-10,VR,133974 ,13397 ,61 ,29919 ,6593 ,80878 ,42290 ,RPG
2023-07-17,Mobile,155642 ,15564 ,48 ,41983 ,7877 ,39170 ,59067 ,Action
2022-09-07,VR,146739 ,14673 ,54 ,44185 ,7298 ,36713 ,25057 ,FPS
2019-06-26,Mobile,114870 ,11487 ,55 ,28642 ,5731 ,30753 ,19890 ,Action
2019-04-11,Console,112854 ,11285 ,69 ,19218 ,5671 ,43998 ,18784 ,Adventure
2023-05-17,Console,154188 ,15418 ,69 ,31348 ,7707 ,42988 ,25360 ,Simulation
2024-03-30,VR,162338 ,16233 ,35 ,58146 ,8293 ,109807 ,80848 ,Adventure
2019-08-09,PC,116183 ,11618 ,35 ,18798 ,5925 ,60551 ,17671 ,Action
2021-10-13,VR,138431 ,13843 ,74 ,33725 ,6877 ,60475 ,36565 ,Action
2022-08-13,VR,146560 ,14656 ,56 ,53947 ,7288 ,98660 ,29871 ,RPG
2020-09-27,VR,128029 ,12802 ,60 ,39268 ,6360 ,30588 ,50072 ,Action
2018-10-08,VR,107369 ,10736 ,38 ,29309 ,5284 ,46809 ,24351 ,Simulation
2023-12-18,Mobile,158971 ,15897 ,56 ,50798 ,8039 ,55091 ,59162 ,FPS
2020-10-09,Mobile,128309 ,12830 ,52 ,54611 ,6363 ,33811 ,80879 ,Simulation
2023-03-26,PC,152799 ,15279 ,49 ,51983 ,7614 ,92026 ,59944 ,Simulation
2018-07-11,Mobile,104671 ,10467 ,52 ,28250 ,5250 ,50518 ,14168 ,RPG
2019-08-10,PC,116075 ,11607 ,28 ,56707 ,5743 ,35880 ,54986 ,Action
2020-10-14,VR,128066 ,12806 ,43 ,27781 ,6242 ,66923 ,29845 ,RPG
2022-12-10,PC,149755 ,14975 ,38 ,29623 ,7446 ,43841 ,18754 ,Action
2020-11-20,PC,128612 ,12861 ,23 ,19373 ,6528 ,86777 ,25738 ,Adventure
2023-06-12,PC,154458 ,15445 ,46 ,39716 ,7597 ,59905 ,30969 ,RPG
2022-02-01,Console,140640 ,14064 ,46 ,43234 ,7058 ,72793 ,31256 ,RPG
2020-04-17,Console,122787 ,12278 ,39 ,53126 ,6186 ,37026 ,41989 ,Adventure
2021-03-19,VR,133143 ,13314 ,70 ,57273 ,6604 ,55475 ,45060 ,FPS
2020-04-29,VR,123349 ,12334 ,48 ,40697 ,6205 ,37289 ,57919 ,RPG
2020-10-17,Mobile,127463 ,12746 ,56 ,63316 ,6398 ,82019 ,61563 ,Simulation
2024-04-06,Mobile,162646 ,16264 ,24 ,51249 ,8093 ,85818 ,53771 ,Adventure
2018-11-03,PC,108329 ,10832 ,18 ,41242 ,5371 ,52498 ,30925 ,Simulation
2022-04-23,PC,143138 ,14313 ,55 ,32227 ,7085 ,32226 ,47543 ,RPG
2020-02-20,Console,121347 ,12134 ,54 ,36748 ,6064 ,82233 ,26270 ,RPG
2018-05-08,Console,103408 ,10340 ,58 ,44048 ,5110 ,28103 ,62222 ,Adventure
2021-12-19,Console,139492 ,13949 ,41 ,14764 ,7057 ,64837 ,19698 ,Action
2023-08-08,Mobile,156198 ,15619 ,53 ,71416 ,7860 ,61335 ,58544 ,FPS
2024-06-12,Mobile,163993 ,16399 ,42 ,17808 ,8168 ,65203 ,10687 ,RPG
2018-01-25,PC,100625 ,10062 ,49 ,34467 ,5035 ,67725 ,26151 ,RPG
2022-07-29,Mobile,145812 ,14581 ,33 ,33964 ,7228 ,34531 ,41056 ,RPG
2019-01-14,PC,109958 ,10995 ,33 ,33517 ,5634 ,37961 ,48398 ,RPG
2024-01-07,VR,160309 ,16030 ,35 ,57895 ,8071 ,76243 ,41070 ,FPS
2018-01-30,VR,100629 ,10062 ,61 ,42901 ,5152 ,60997 ,22110 ,Adventure
2023-05-02,VR,153394 ,15339 ,49 ,56303 ,7566 ,36479 ,67488 ,Action
2022-06-18,Mobile,144690 ,14469 ,25 ,48563 ,7236 ,93212 ,51899 ,Adventure
2018-01-09,Mobile,100527 ,10052 ,44 ,46970 ,5018 ,26691 ,49943 ,RPG
2023-05-26,VR,153888 ,15388 ,47 ,43167 ,7834 ,35300 ,34841 ,FPS
2022-09-04,Console,146535 ,14653 ,55 ,66624 ,7349 ,99585 ,95322 ,RPG
2021-09-17,Mobile,136955 ,13695 ,42 ,43593 ,6857 ,32298 ,31292 ,Simulation
2018-09-25,PC,106529 ,10652 ,49 ,22221 ,5406 ,43195 ,32199 ,RPG
2018-12-03,VR,109571 ,10957 ,46 ,26065 ,5420 ,64300 ,33588 ,Action
2021-04-01,VR,132945 ,13294 ,62 ,39874 ,6745 ,68105 ,24692 ,Action
2022-02-10,Mobile,140955 ,14095 ,35 ,18126 ,7075 ,60398 ,23558 ,FPS
2022-02-18,VR,140672 ,14067 ,67 ,58043 ,7054 ,48525 ,63045 ,RPG
2020-08-12,Mobile,126397 ,12639 ,37 ,20856 ,6269 ,80967 ,24269 ,Action
2023-10-13,Console,158205 ,15820 ,32 ,35488 ,7852 ,46268 ,43443 ,Simulation
2021-08-10,Mobile,136042 ,13604 ,47 ,61050 ,6968 ,57403 ,54759 ,RPG
2022-09-21,Mobile,146488 ,14648 ,62 ,21589 ,7444 ,49828 ,11284 ,Action
2021-08-20,Mobile,135691 ,13569 ,67 ,28398 ,6819 ,78386 ,42475 ,FPS
2018-01-08,VR,100025 ,10002 ,46 ,12915 ,4949 ,43828 ,10820 ,Action
2021-11-19,Console,138166 ,13816 ,57 ,14459 ,6863 ,57724 ,13997 ,Simulation
2021-01-01,Console,130654 ,13065 ,52 ,52000 ,6531 ,30882 ,33482 ,Action
2018-01-08,Mobile,100104 ,10010 ,33 ,16567 ,5028 ,44419 ,10521 ,Adventure
2020-11-16,Console,128543 ,12854 ,37 ,13439 ,6511 ,33655 ,17595 ,Adventure
2023-02-20,VR,151148 ,15114 ,53 ,15584 ,7543 ,68046 ,15884 ,Adventure
2018-07-03,VR,105251 ,10525 ,61 ,10840 ,5361 ,50323 ,7771 ,Action
2019-06-01,VR,114039 ,11403 ,59 ,50128 ,5807 ,35131 ,51549 ,Simulation
2018-01-27,Console,100466 ,10046 ,74 ,12083 ,5032 ,27973 ,7643 ,RPG
2024-08-08,PC,165700 ,16570 ,65 ,49471 ,8151 ,38914 ,65392 ,Simulation
2024-02-02,Console,160848 ,16084 ,53 ,59999 ,8110 ,93560 ,42569 ,FPS
2023-06-29,PC,154769 ,15476 ,39 ,61631 ,7847 ,93478 ,88599 ,FPS
2019-07-13,PC,115477 ,11547 ,28 ,44862 ,5780 ,75599 ,22707 ,FPS
2018-09-06,Mobile,106624 ,10662 ,45 ,44608 ,5266 ,45850 ,33538 ,FPS
2024-06-11,PC,164792 ,16479 ,57 ,47968 ,8205 ,42109 ,54555 ,FPS
2022-10-31,Console,148298 ,14829 ,51 ,38827 ,7439 ,32904 ,52927 ,Adventure
2022-08-25,Mobile,146923 ,14692 ,57 ,48107 ,7309 ,34692 ,55450 ,Adventure
2018-04-01,PC,102640 ,10264 ,62 ,49897 ,5105 ,59806 ,52901 ,Adventure
2018-03-18,PC,102185 ,10218 ,41 ,33390 ,5118 ,58453 ,22022 ,RPG
2019-10-19,VR,118312 ,11831 ,46 ,18351 ,5889 ,38987 ,11570 ,RPG
2024-02-20,Mobile,161020 ,16102 ,72 ,53306 ,8200 ,49461 ,77261 ,Action
2021-02-02,Mobile,130896 ,13089 ,58 ,54053 ,6462 ,69119 ,70714 ,Action
2022-01-17,Console,140690 ,14069 ,49 ,33114 ,7005 ,74398 ,16863 ,Action
2023-09-10,Mobile,156941 ,15694 ,31 ,42752 ,7890 ,65706 ,29784 ,FPS
2020-02-15,PC,121168 ,12116 ,28 ,28176 ,6020 ,29707 ,19545 ,RPG
2021-11-26,VR,139016 ,13901 ,61 ,14824 ,6785 ,80707 ,11574 ,Action
2020-09-01,Console,126533 ,12653 ,37 ,22280 ,6538 ,74768 ,25138 ,RPG
2021-09-22,PC,137691 ,13769 ,50 ,53313 ,6917 ,69637 ,48082 ,Action
2023-06-06,Console,154237 ,15423 ,34 ,73182 ,7784 ,88190 ,86871 ,Action
2018-06-05,Mobile,104965 ,10496 ,58 ,26686 ,5191 ,54832 ,16513 ,Action
2022-12-14,VR,149489 ,14948 ,41 ,44922 ,7475 ,82337 ,48286 ,Adventure
2019-09-17,Console,117419 ,11741 ,53 ,24190 ,5935 ,54304 ,29476 ,Simulation
2018-06-28,Mobile,105147 ,10514 ,62 ,24565 ,5300 ,70191 ,30970 ,RPG
2023-10-02,VR,156899 ,15689 ,54 ,52230 ,7759 ,93340 ,75000 ,Simulation
2019-12-15,VR,120199 ,12019 ,64 ,35066 ,6039 ,33935 ,42399 ,Action
2020-12-03,Mobile,128656 ,12865 ,52 ,26735 ,6498 ,31948 ,17268 ,Action
2019-12-29,PC,119796 ,11979 ,37 ,25090 ,5938 ,55050 ,13170 ,RPG
2023-07-14,PC,156002 ,15600 ,31 ,26365 ,7811 ,107147 ,36001 ,Adventure
2021-02-03,PC,130951 ,13095 ,45 ,32344 ,6626 ,90795 ,18118 ,Adventure
2018-11-12,Mobile,108494 ,10849 ,60 ,34591 ,5404 ,56440 ,21525 ,RPG
2020-03-01,PC,121971 ,12197 ,48 ,23323 ,6081 ,72534 ,26868 ,Action
2018-08-31,Console,106697 ,10669 ,43 ,40979 ,5364 ,71291 ,31714 ,Simulation
2020-09-05,PC,127014 ,12701 ,50 ,26802 ,6359 ,85224 ,37224 ,Action
2021-07-23,Console,136038 ,13603 ,55 ,36227 ,6604 ,61526 ,47740 ,Action
2024-01-21,Console,159844 ,15984 ,44 ,44366 ,8083 ,65116 ,33135 ,RPG
2018-03-06,VR,101798 ,10179 ,44 ,21143 ,5073 ,33051 ,28928 ,FPS
2020-08-05,Console,126459 ,12645 ,65 ,25463 ,6394 ,83948 ,24605 ,Simulation
2024-04-19,Console,163355 ,16335 ,40 ,56012 ,8339 ,39629 ,54064 ,Adventure
2018-05-02,VR,103598 ,10359 ,45 ,41865 ,5141 ,63345 ,51442 ,RPG
2023-05-31,VR,153546 ,15354 ,52 ,65012 ,7800 ,103902 ,39854 ,RPG
2018-05-10,Console,103529 ,10352 ,59 ,10854 ,5066 ,41994 ,11461 ,Simulation
2023-09-17,Console,157110 ,15711 ,63 ,51320 ,7767 ,83992 ,59046 ,Action
2018-03-19,VR,102110 ,10211 ,54 ,27371 ,5192 ,38449 ,23474 ,Action
2020-03-18,VR,122669 ,12266 ,51 ,31050 ,6070 ,27206 ,42642 ,RPG
2023-06-07,PC,154229 ,15422 ,38 ,48130 ,7706 ,77764 ,32164 ,Simulation
2023-02-08,Mobile,151065 ,15106 ,54 ,54381 ,7569 ,77747 ,80905 ,Action
2024-09-11,VR,166724 ,16672 ,43 ,26398 ,8256 ,47277 ,35419 ,Simulation
2021-07-19,VR,134877 ,13487 ,54 ,51747 ,6762 ,50963 ,69737 ,Action
2023-07-13,PC,155076 ,15507 ,35 ,24572 ,7728 ,108493 ,25421 ,Adventure
2022-06-14,Mobile,144621 ,14462 ,44 ,24226 ,7394 ,73365 ,20200 ,RPG
2022-08-25,Console,146092 ,14609 ,33 ,60255 ,7234 ,72493 ,85732 ,Action
2023-04-28,PC,152690 ,15269 ,62 ,21495 ,7723 ,96510 ,12503 ,FPS
2019-11-16,Mobile,118443 ,11844 ,52 ,12039 ,5955 ,82657 ,6849 ,Action
2023-05-15,Mobile,153324 ,15332 ,47 ,62970 ,7687 ,65956 ,92282 ,Simulation
2022-04-15,Mobile,143358 ,14335 ,48 ,25018 ,7140 ,72093 ,19079 ,Adventure
2023-08-14,Mobile,156460 ,15646 ,49 ,72933 ,7873 ,92474 ,70059 ,Simulation
2018-11-08,VR,108834 ,10883 ,29 ,49457 ,5307 ,24411 ,47031 ,Simulation
2024-05-22,VR,163572 ,16357 ,71 ,35170 ,8153 ,41164 ,18571 ,Adventure
2020-11-14,Console,128139 ,12813 ,51 ,18400 ,6418 ,67298 ,16327 ,RPG
2023-06-24,PC,155019 ,15501 ,40 ,55448 ,7714 ,52219 ,55702 ,Adventure
2023-01-19,Mobile,150704 ,15070 ,52 ,32410 ,7429 ,84637 ,30562 ,Simulation
2020-05-08,Console,123495 ,12349 ,50 ,45345 ,6193 ,45783 ,58749 ,RPG
2021-09-07,Mobile,136559 ,13655 ,58 ,35343 ,6875 ,45312 ,31683 ,RPG
2018-08-28,Console,106742 ,10674 ,36 ,24353 ,5251 ,39082 ,29778 ,Action
2018-04-15,PC,103129 ,10312 ,47 ,46743 ,5172 ,27559 ,31817 ,RPG
2021-12-06,Mobile,138858 ,13885 ,48 ,43968 ,6996 ,90997 ,39250 ,Simulation
2022-08-09,VR,145621 ,14562 ,61 ,19602 ,7412 ,57238 ,24451 ,Simulation
2020-12-31,Mobile,130087 ,13008 ,59 ,56941 ,6613 ,62916 ,30259 ,RPG
2021-07-23,PC,135384 ,13538 ,58 ,52637 ,6689 ,60536 ,42935 ,FPS
2018-10-06,PC,107852 ,10785 ,46 ,45276 ,5538 ,70048 ,65104 ,Simulation
2019-11-04,PC,118305 ,11830 ,75 ,57989 ,5828 ,80232 ,72289 ,Simulation
2022-06-07,PC,144087 ,14408 ,29 ,71951 ,7135 ,73674 ,42926 ,FPS
2024-01-14,VR,160107 ,16010 ,35 ,70236 ,8091 ,71344 ,61642 ,FPS
2023-05-06,VR,153820 ,15382 ,46 ,25003 ,7823 ,40521 ,25980 ,Simulation
2020-05-02,Console,122972 ,12297 ,42 ,31547 ,6193 ,30244 ,43591 ,FPS
2018-01-21,PC,100658 ,10065 ,47 ,21599 ,4928 ,36884 ,20977 ,RPG
2021-02-27,Mobile,131423 ,13142 ,51 ,57637 ,6664 ,59482 ,40539 ,FPS
2018-12-10,Mobile,108895 ,10889 ,51 ,38488 ,5462 ,57593 ,32369 ,Adventure
2019-01-13,Mobile,111008 ,11100 ,29 ,49895 ,5660 ,24298 ,26684 ,RPG
2022-05-30,Console,144164 ,14416 ,55 ,21423 ,7256 ,78172 ,26442 ,Adventure
2020-02-07,Console,121361 ,12136 ,45 ,54009 ,6127 ,73559 ,57463 ,Action
2020-01-24,VR,119997 ,11999 ,41 ,15896 ,5933 ,26331 ,13028 ,Adventure
2021-04-20,Console,132637 ,13263 ,53 ,28788 ,6666 ,51432 ,34861 ,Simulation
2023-05-10,Mobile,153387 ,15338 ,36 ,73612 ,7718 ,86283 ,53585 ,RPG
2018-01-24,PC,99963 ,9996 ,51 ,34278 ,5083 ,35306 ,26572 ,RPG
2024-06-13,PC,163674 ,16367 ,48 ,63620 ,8420 ,109405 ,91251 ,FPS
2022-07-08,VR,145237 ,14523 ,52 ,47006 ,7231 ,34174 ,66331 ,Action
2021-01-15,Console,130320 ,13032 ,75 ,35886 ,6468 ,44110 ,45913 ,FPS
2023-03-16,Mobile,151697 ,15169 ,59 ,50563 ,7459 ,32169 ,43994 ,Simulation
2020-08-16,Console,126531 ,12653 ,52 ,33904 ,6282 ,82631 ,45818 ,FPS
2024-08-22,Mobile,167130 ,16713 ,37 ,46142 ,8315 ,96479 ,55422 ,RPG
2020-12-16,Mobile,129719 ,12971 ,39 ,28993 ,6541 ,49432 ,32964 ,FPS
2020-04-28,Mobile,123289 ,12328 ,32 ,55630 ,6087 ,75252 ,54157 ,Adventure
2021-04-02,VR,132818 ,13281 ,57 ,37556 ,6687 ,56325 ,30618 ,Simulation
2022-12-13,PC,149537 ,14953 ,50 ,58948 ,7578 ,51704 ,78477 ,RPG
2024-04-16,Console,163021 ,16302 ,56 ,56279 ,8279 ,49915 ,54374 ,Adventure
2019-08-14,PC,116079 ,11607 ,49 ,51811 ,5699 ,35885 ,60328 ,Adventure
2018-10-14,VR,107480 ,10748 ,22 ,43297 ,5260 ,68247 ,30797 ,Action
2021-11-17,Mobile,139150 ,13915 ,27 ,19741 ,7067 ,61029 ,19080 ,FPS
2023-07-12,Console,155263 ,15526 ,59 ,62004 ,7799 ,33182 ,70924 ,FPS
2021-05-20,Console,133838 ,13383 ,40 ,39022 ,6520 ,35686 ,32854 ,FPS
2020-07-04,Console,124617 ,12461 ,60 ,59469 ,6124 ,26577 ,81036 ,RPG
2019-01-26,Console,110638 ,11063 ,59 ,37548 ,5430 ,32949 ,33270 ,Adventure
2020-10-25,PC,128806 ,12880 ,58 ,62886 ,6491 ,73843 ,43070 ,Action
2024-03-12,Mobile,162191 ,16219 ,49 ,72583 ,7990 ,51122 ,92116 ,FPS
2024-05-07,VR,163047 ,16304 ,52 ,57704 ,8186 ,46035 ,43453 ,Action
2023-11-05,Mobile,158751 ,15875 ,56 ,37335 ,7955 ,52710 ,40512 ,FPS
2018-07-18,Console,105046 ,10504 ,42 ,20808 ,5237 ,21202 ,10486 ,Action
2022-01-03,Mobile,139355 ,13935 ,45 ,42223 ,6987 ,32319 ,36323 ,Action
2023-03-20,Console,151832 ,15183 ,37 ,55450 ,7754 ,92949 ,82216 ,FPS
2019-02-03,Mobile,111012 ,11101 ,66 ,18978 ,5543 ,71330 ,15028 ,Adventure
2023-01-29,Mobile,150725 ,15072 ,53 ,70089 ,7616 ,93901 ,45567 ,Adventure
2021-08-09,Console,135570 ,13557 ,54 ,20650 ,6803 ,85263 ,22714 ,RPG
2022-11-22,Console,148813 ,14881 ,49 ,47607 ,7299 ,58336 ,66070 ,Simulation
2018-01-23,PC,100590 ,10059 ,51 ,26530 ,5005 ,48701 ,29297 ,Adventure
2023-12-14,Console,159791 ,15979 ,38 ,77357 ,7959 ,100363 ,104647 ,RPG
2024-08-29,VR,167167 ,16716 ,60 ,54616 ,8314 ,79231 ,39950 ,RPG
